"cutx2 [mm]","cuty1 [mm]","Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
0.6,0.4,180,180,7.6375,21.7565057244768
0.6,0.4,180,180,7.65,18.3160670583503
0.6,0.4,180,180,7.6625,15.7484754834442
0.6,0.4,180,180,7.675,13.6694062237522
0.6,0.4,180,180,7.6875,11.8996817231549
0.6,0.4,180,180,7.7,10.3424033791953
0.6,0.4,180,180,7.7125,8.94073891131464
0.6,0.4,180,180,7.725,7.6600515130639
0.6,0.4,180,180,7.7375,6.47916389984728
0.6,0.4,180,180,7.75,5.38558564138655
0.6,0.4,180,180,7.7625,4.37268493959997
0.6,0.4,180,180,7.775,3.43797336707823
0.6,0.4,180,180,7.7875,2.58233987793836
0.6,0.4,180,180,7.8,1.81100757668542
0.6,0.4,180,180,7.8125,1.1408545236065
0.6,0.4,180,180,7.825,0.643952861404127
0.6,0.4,180,180,7.8375,0.578571001473942
0.6,0.4,180,180,7.85,0.902821305723043
0.6,0.4,180,180,7.8625,1.28368192228965
0.6,0.4,180,180,7.875,1.63167411530934
0.6,0.4,180,180,7.8875,1.92916922314868
0.6,0.4,180,180,7.9,2.17227242723938
0.6,0.4,180,180,7.9125,2.36090326438689
0.6,0.4,180,180,7.925,2.49682559804673
0.6,0.4,180,180,7.9375,2.58360511969942
0.6,0.4,180,180,7.95,2.62731985201773
0.6,0.4,180,180,7.9625,2.63775811554214
0.6,0.4,180,180,7.975,2.63002768597783
0.6,0.4,180,180,7.9875,2.62630258181852
0.6,0.4,180,180,8,2.65677669197663
0.6,0.4,180,180,8.0125,2.75792961499407
0.6,0.4,180,180,8.025,2.96656012073415
0.6,0.4,180,180,8.0375,3.31179303957813
0.6,0.4,180,180,8.05,3.8112876950363
0.6,0.4,180,180,8.0625,4.47502811683482
0.6,0.4,180,180,8.075,5.31352608003393
0.6,0.4,180,180,8.0875,6.34651160879219
0.6,0.4,180,180,8.1,7.61229442615628
0.6,0.4,180,180,8.1125,9.18231509046906
0.6,0.4,180,180,8.125,11.1922592307183
0.6,0.4,180,180,8.1375,13.9257211329003
0.6,0.4,180,180,8.15,18.1169060145773
0.6,0.4,180,180,8.1625,27.0394967484725
0.6,0.4,180,180,8.175,28.3592697063348
0.6,0.4,180,180,8.1875,18.1309419219566
0.6,0.4,180,180,8.2,13.4270871114895
0.6,0.4,180,180,8.2125,10.2989780902716
0.6,0.4,180,180,8.225,7.94285021833761
0.6,0.4,180,180,8.2375,6.06642280412372
0.6,0.4,180,180,8.25,4.55306186157012
0.6,0.4,180,180,8.2625,3.3904618683578
0.6,0.4,180,180,8.275,2.66987072965275
0.6,0.4,180,180,8.2875,2.52640751478596
0.6,0.4,180,180,8.3,2.90062184340304
0.6,0.4,180,180,8.3125,3.55239696224195
0.6,0.4,180,180,8.325,4.30860609032277
0.6,0.4,180,180,8.3375,5.09246887674
0.6,0.4,180,180,8.35,5.87407558518681
0.6,0.4,180,180,8.3625,6.64215851746952
0.6,0.4,180,180,8.375,7.39225279710781
0.6,0.4,180,180,8.3875,8.1219004863188
0.6,0.4,180,180,8.4,8.82885917580481
0.6,0.4,180,180,8.4125,9.51062401770762
0.6,0.4,180,180,8.425,10.1645288026809
0.6,0.4,180,180,8.4375,10.7881388976009
0.6,0.4,180,180,8.45,11.3799022969321
0.6,0.4,180,180,8.4625,11.9400840616584
0.6,0.4,180,180,8.475,12.4719692656475
0.6,0.4,180,180,8.4875,12.9831582106378
0.6,0.4,180,180,8.5,13.4864979917986
0.6,0.4,180,180,8.5125,13.9999748311123
0.6,0.4,180,180,8.525,14.5449887416503
0.6,0.4,180,180,8.5375,15.143007796349
0.6,0.4,180,180,8.55,15.8116209861053
0.6,0.4,180,180,8.5625,16.561608155271
0.6,0.4,180,180,8.575,17.3962919054874
0.6,0.4,180,180,8.5875,18.3132185177048
0.6,0.4,180,180,8.6,19.3071256726938
0.6,0.4,180,180,8.6125,20.3729421111896
0.6,0.4,180,180,8.625,21.508069832069
0.6,0.4,180,180,8.6375,22.7138466990386
0.6,0.4,180,180,8.65,23.9964915315955
0.6,0.4,180,180,8.6625,25.3679902355245
0.6,0.4,180,180,8.675,26.8474280573508
0.6,0.4,180,180,8.6875,28.4634150041694
