"Phi [deg]","Theta [deg]","Freq [GHz]","dB(AxialRatioValue) []"
180,180,8.375,10.4108075056148
180,180,8.3875,11.1854247064186
180,180,8.4,12.0323678972345
180,180,8.4125,12.9702369754425
180,180,8.425,14.008933542401
180,180,8.4375,15.1476525005138
180,180,8.45,16.3770538257471
180,180,8.4625,17.6842827152609
180,180,8.475,19.0583608915549
180,180,8.4875,20.4941714640511
180,180,8.5,21.9947430884519
180,180,8.5125,23.5726052354973
180,180,8.525,25.2514612184511
180,180,8.5375,27.0696750230284
180,180,8.55,29.0880045220557
180,180,8.5625,31.4069237656383
180,180,8.575,34.209215804514
180,180,8.5875,37.886149156592
180,180,8.6,43.5731055765063
180,180,8.6125,59.9003986452488
180,180,8.625,47.6154091504117
180,180,8.6375,40.9640658078446
180,180,8.65,37.4559548733663
180,180,8.6625,35.1067936450561
180,180,8.675,33.3613370708992
180,180,8.6875,31.9842321332603
180,180,8.7,30.8541751697171
180,180,8.7125,29.9016663557463
180,180,8.725,29.0852301227427
180,180,8.7375,28.3811320154512
180,180,8.75,27.7783591893389
180,180,8.7625,27.2752521707204
180,180,8.775,26.8756423346102
180,180,8.7875,26.5834376619922
180,180,8.8,26.3962849102637
180,180,8.8125,26.3006729827823
180,180,8.825,26.2713630140047
180,180,8.8375,26.2762797311032
180,180,8.85,26.2846539405193
180,180,8.8625,26.2742528213378
180,180,8.875,26.2349493815886
180,180,8.8875,26.1687131695931
180,180,8.9,26.0883501628809
180,180,8.9125,26.017307433362
180,180,8.925,25.9918325872958
180,180,8.9375,26.0657699453885
180,180,8.95,26.3183751902467
180,180,8.9625,26.8674388347882
180,180,8.975,27.8966895781449
180,180,8.9875,29.7304571114664
180,180,9,33.1071013499007
