freq	dB(SP1.SP.S(1,1))
7.80999999999999961E9	-1.23002774688910610E1
7.82000000000000028E9	-1.23951661793360479E1
7.83000000000000007E9	-1.24494796172164324E1
7.84000000000000075E9	-1.24618430254250545E1
7.84999999999999964E9	-1.24323016481215287E1
7.85999999999999943E9	-1.23623131378833451E1
7.87000000000000011E9	-1.22545974445825223E1
7.87999999999999989E9	-1.21128747763186007E1
7.89000000000000057E9	-1.19415410047566994E1
7.90000000000000036E9	-1.17453337405534475E1
7.90999999999999925E9	-1.15290329217953014E1
7.91999999999999993E9	-1.12972231050056982E1
7.92999999999999972E9	-1.10541273263255824E1
7.94000000000000039E9	-1.08035089329559186E1
7.95000000000000018E9	-1.05486298310229487E1
7.95999999999999908E9	-1.02922506342387421E1
7.97000000000000064E9	-1.00366586893773002E1
7.97999999999999954E9	-9.78371227517817488E0
7.99000000000000021E9	-9.53489218400463301E0
8.00000000000000000E9	-9.29135465514552017E0


freq	dB(SP1.SP.S(2,2))
4.00000000000000000E9	-5.12388375779712035E0
4.00999999999999979E9	-5.17929050723134488E0
4.02000000000000046E9	-5.23634641254949873E0
4.02999999999999936E9	-5.29520154330960935E0
4.04000000000000004E9	-5.35601025340566927E0
4.04999999999999982E9	-5.41893155989804853E0
4.06000000000000050E9	-5.48481378208489101E0
4.07000000000000028E9	-5.55326825550455982E0
4.08000000000000007E9	-5.62446829429218909E0
4.08999999999999986E9	-5.69859244329993242E0
4.09999999999999964E9	-5.77582506909207627E0
4.11000000000000032E9	-5.85729551097881007E0
4.12000000000000011E9	-5.94238023963818396E0
4.12999999999999989E9	-6.03127834957090947E0
4.13999999999999968E9	-6.12419607218578399E0
4.15000000000000036E9	-6.22134764739340795E0
4.16000000000000014E9	-6.32412692002083254E0
4.16999999999999993E9	-6.43169213349429292E0
4.17999999999999972E9	-6.54427520832608689E0
4.18999999999999950E9	-6.66211835860707957E0
4.20000000000000018E9	-6.78547534372247618E0
4.20999999999999996E9	-6.91596837581788026E0
4.22000000000000064E9	-7.05258226786555653E0
4.22999999999999954E9	-7.19559507858227398E0
4.24000000000000021E9	-7.34530022046369879E0
4.25000000000000000E9	-7.50200827793930181E0
4.25999999999999979E9	-7.66751109303644451E0
4.27000000000000046E9	-7.84070271321658829E0
4.27999999999999936E9	-8.02193171913512693E0
4.29000000000000004E9	-8.21157052312248936E0
4.29999999999999982E9	-8.41001818225345055E0
4.31000000000000050E9	-8.61915700930304851E0
4.32000000000000028E9	-8.83792702274829090E0
4.33000000000000007E9	-9.06679422665751922E0
4.33999999999999986E9	-9.30626388463049459E0
4.34999999999999964E9	-9.55688543472970231E0
4.36000000000000032E9	-9.82054658479575338E0
4.37000000000000011E9	-1.00964521771544424E1
4.37999999999999989E9	-1.03852817458383395E1
4.38999999999999968E9	-1.06877852630946624E1
4.40000000000000036E9	-1.10047932511901703E1
4.41000000000000014E9	-1.13381486441534252E1
4.41999999999999993E9	-1.16876830401676046E1
4.42999999999999972E9	-1.20545030490198735E1
4.43999999999999950E9	-1.24398575458436267E1
4.45000000000000018E9	-1.28451627147736369E1
