"Freq [GHz]","dB(S(1,1)) []"
8.7375,-2.77880012444356
8.75,-2.72556385869536
8.7625,-2.67275154112163
8.775,-2.62098920987063
8.7875,-2.57081740410213
8.8,-2.52266678429613
8.8125,-2.47684880015874
8.825,-2.43355908588468
8.8375,-2.3928898943146
8.85,-2.35484764497054
8.8625,-2.31937221001618
8.875,-2.28635548340164
8.8875,-2.25565773990766
8.9,-2.22712109618297
8.9125,-2.2005799612607
8.925,-2.17586871612495
8.9375,-2.15282703649301
8.95,-2.13130332533526
8.9625,-2.11115670060552
8.975,-2.09225792561997
8.9875,-2.07448959858477
9,-2.05774584796652
